Degrees,XAxis,YAxis,Gripper,LeftGripper
0,48,0,0,0
1,48,0,0,0.0006
2,48,0,0,0.0041
3,48,0,0,0.013
4,48,0,0,0.0306
5,48,0,0,0.058
6,48,0,0,0.0977
7,48,0,0,0.1507
8,48,0,0,0.2169
9,48,0,0,0.2978
10,48,0,0,0.3915
11,48,0,0,0.4968
12,48,0,0,0.6133
13,48,0,0,0.7374
14,48,0,0,0.8672
15,48,0,0,1
16,48,0,0,1.1328
17,48,0,0,1.2626
18,48,0,0,1.3867
19,48,0,0,1.5032
20,48,0,0,1.6085
21,48,0,0,1.7022
22,48,0,0,1.7831
23,48,0,0,1.8493
24,48,0,0,1.9023
25,48,0,0,1.942
26,48,0,0,1.9694
27,48,0,0,1.987
28,48,0,0,1.9959
29,48,0,0,1.9994
30,48,0,0,2
31,48,0,0,2
32,48,0,0,2
33,48,0,0,2
34,48,0,0,2
35,48,0,0,2
36,48,0.0139,0,2
37,48,0.0556,0,2
38,48,0.125,0,2
39,48,0.2222,0,2
40,48,0.3472,0,2
41,48,0.5,0,2
42,48,0.6806,0,2
43,48,0.8889,0,2
44,48,1.125,0,2
45,48,1.3889,0,2
46,48,1.6806,0,2
47,48,2,0,2
48,48,2.3472,0,2
49,48,2.7222,0,2
50,48,3.125,0,2
51,48,3.5556,0,2
52,48,4.0139,0,2
53,48,4.5,0,2
54,48,5.0139,0,2
55,48,5.5556,0,2
56,48,6.125,0,2
57,48,6.7222,0,2
58,48,7.3472,0,2
59,48,8,0,2
60,48,8.6806,0,2
61,48,9.3889,0,2
62,48,10.125,0,2
63,48,10.8889,0,2
64,48,11.6806,0,2
65,48,12.5,0,2
66,48,13.3194,0,2
67,48,14.1111,0,2
68,48,14.875,0,2
69,48,15.6111,0,2
70,48,16.3194,0,2
71,48,17,0,2
72,48,17.6528,0,2
73,48,18.2778,0,2
74,48,18.875,0,2
75,48,19.4444,0,2
76,48,19.9861,0,2
77,48,20.5,0,2
78,48,20.9861,0,2
79,48,21.4444,0,2
80,48,21.875,0,2
81,48,22.2778,0,2
82,48,22.6528,0,2
83,48,23,0,2
84,48,23.3194,0,2
85,48,23.6111,0,2
86,48,23.875,0,2
87,48,24.1111,0,2
88,48,24.3194,0,2
89,48,24.5,0,2
90,48,24.6528,0,2
91,48,24.7778,0,2
92,48,24.875,0,2
93,48,24.9444,0,2
94,48,24.9861,0,2
95,48,25,0,2
96,47.9951,25,0.0107,2
97,47.9804,25,0.0426,2
98,47.9559,25,0.0959,2
99,47.9216,25,0.1704,2
100,47.8776,25,0.2663,2
101,47.8237,25,0.3834,2
102,47.76,25,0.5219,2
103,47.6865,25,0.6817,2
104,47.6033,25,0.8627,2
105,47.5102,25,1.0651,2
106,47.4073,25,1.2888,2
107,47.2947,25,1.5338,2
108,47.1722,25,1.8,2
109,47.04,25,2.0876,2
110,46.898,25,2.3965,2
111,46.7461,25,2.7267,2
112,46.5845,25,3.0782,2
113,46.4131,25,3.451,2
114,46.2318,25,3.845,2
115,46.0408,25,4.2604,2
116,45.84,25,4.6971,2
117,45.6294,25,5.1551,2
118,45.409,25,5.6344,2
119,45.1788,25,6.135,2
120,44.9388,25,6.6569,2
121,44.689,25,7.2001,2
122,44.4294,25,7.7646,2
123,44.16,25,8.3505,2
124,43.8808,25,8.9576,2
125,43.5918,25,9.586,2
126,43.2931,25,10.2357,2
127,42.9845,25,10.9067,2
128,42.6661,25,11.599,2
129,42.338,25,12.3127,2
130,42,25,13.0476,2
131,41.6522,25,13.8038,2
132,41.2947,25,14.5813,2
133,40.9273,25,15.3802,2
134,40.5502,25,16.2003,2
135,40.1633,25,17.0417,2
136,39.7665,25,17.9045,2
137,39.36,25,18.7885,2
138,38.9437,25,19.6939,2
139,38.5176,25,20.6205,2
140,38.0816,25,21.5685,2
141,37.6359,25,22.5377,2
142,37.1804,25,23.5283,2
143,36.7151,25,24.5401,2
144,36.24,25,25.5733,2
145,35.7551,25,26.6277,2
146,35.2604,25,27.7035,2
147,34.7559,25,28.8006,2
148,34.2416,25,29.9189,2
149,33.7176,25,31.0586,2
150,33.1837,25,32.2196,2
151,32.64,25,33.4018,2
152,32.0865,25,34.6054,2
153,31.5233,25,35.8303,2
154,30.9502,25,37.0765,2
155,30.3673,25,38.3439,2
156,29.7747,25,39.6327,2
157,29.1722,25,40.9428,2
158,28.56,25,42.2742,2
159,27.938,25,43.6269,2
160,27.3061,25,45,2
161,26.6645,25,46.3731,2
162,26.0131,25,47.7258,2
163,25.3518,25,49.0572,2
164,24.6808,25,50.3673,2
165,24,25,51.6561,2
166,23.3192,25,52.9235,2
167,22.6482,25,54.1697,2
168,21.9869,25,55.3946,2
169,21.3355,25,56.5982,2
170,20.6939,25,57.7804,2
171,20.062,25,58.9414,2
172,19.44,25,60.0811,2
173,18.8278,25,61.1994,2
174,18.2253,25,62.2965,2
175,17.6327,25,63.3723,2
176,17.0498,25,64.4267,2
177,16.4767,25,65.4599,2
178,15.9135,25,66.4717,2
179,15.36,25,67.4623,2
180,14.8163,25,68.4315,2
181,14.2824,25,69.3795,2
182,13.7584,25,70.3061,2
183,13.2441,25,71.2115,2
184,12.7396,25,72.0955,2
185,12.2449,25,72.9583,2
186,11.76,25,73.7997,2
187,11.2849,25,74.6198,2
188,10.8196,25,75.4187,2
189,10.3641,25,76.1962,2
190,9.9184,25,76.9524,2
191,9.4824,25,77.6873,2
192,9.0563,25,78.401,2
193,8.64,25,79.0933,2
194,8.2335,25,79.7643,2
195,7.8367,25,80.414,2
196,7.4498,25,81.0424,2
197,7.0727,25,81.6495,2
198,6.7053,25,82.2354,2
199,6.3478,25,82.7999,2
200,6,25,83.3431,2
